Study,Run ID,Consent,Size (MB),Organism,Tissue
SRP186127,SRR8586201,public,3784,Homo sapiens,breast
SRP186127,SRR8586202,public,3859,Homo sapiens,breast
SRP186127,SRR8586203,public,3758,Homo sapiens,breast
SRP186127,SRR8586204,public,3546,Homo sapiens,breast
SRP186252,SRR8590756,public,398,Homo sapiens,breast
SRP186252,SRR8590757,public,392,Homo sapiens,breast
SRP186252,SRR8590754,public,373,Homo sapiens,breast
SRP186252,SRR8590755,public,367,Homo sapiens,breast
SRP186252,SRR8590758,public,641,Homo sapiens,breast
SRP186252,SRR8590759,public,639,Homo sapiens,breast
SRP186252,SRR8590760,public,1087,Homo sapiens,breast
SRP186252,SRR8590761,public,1104,Homo sapiens,breast
SRP186252,SRR8590762,public,643,Homo sapiens,breast
SRP186252,SRR8590763,public,647,Homo sapiens,breast
SRP186252,SRR8590764,public,1469,Homo sapiens,breast
SRP186252,SRR8590765,public,1478,Homo sapiens,breast
SRP186252,SRR8590766,public,934,Homo sapiens,breast
SRP186252,SRR8590767,public,938,Homo sapiens,breast
SRP186252,SRR8590768,public,1067,Homo sapiens,breast
SRP186252,SRR8590769,public,1071,Homo sapiens,breast
SRP186252,SRR8590770,public,823,Homo sapiens,breast
SRP186252,SRR8590771,public,1135,Homo sapiens,breast
SRP186252,SRR8590772,public,826,Homo sapiens,breast
SRP186252,SRR8590773,public,1166,Homo sapiens,breast
SRP186252,SRR8590774,public,860,Homo sapiens,breast
SRP186252,SRR8590775,public,1190,Homo sapiens,breast
SRP186252,SRR8590776,public,864,Homo sapiens,breast
SRP186252,SRR8590777,public,1222,Homo sapiens,breast
SRP186252,SRR8590778,public,814,Homo sapiens,breast
SRP186252,SRR8590779,public,804,Homo sapiens,breast
SRP186252,SRR8590780,public,246,Homo sapiens,breast
SRP186252,SRR8590781,public,205,Homo sapiens,breast
SRP186252,SRR8590782,public,241,Homo sapiens,breast
SRP186252,SRR8590783,public,208,Homo sapiens,breast
SRP186252,SRR8590784,public,627,Homo sapiens,breast
SRP186252,SRR8590785,public,644,Homo sapiens,breast
SRP186252,SRR8590786,public,785,Homo sapiens,breast
SRP186252,SRR8590787,public,1140,Homo sapiens,breast
SRP186252,SRR8590788,public,783,Homo sapiens,breast
SRP186252,SRR8590789,public,1169,Homo sapiens,breast
SRP186252,SRR8590790,public,1206,Homo sapiens,breast
SRP186252,SRR8590792,public,5050,Homo sapiens,breast
SRP186252,SRR8590791,public,1318,Homo sapiens,breast
SRP186252,SRR8590793,public,5072,Homo sapiens,breast
SRP186252,SRR8590794,public,725,Homo sapiens,breast
SRP186252,SRR8590795,public,715,Homo sapiens,breast
SRP186252,SRR8590796,public,949,Homo sapiens,breast
SRP186252,SRR8590797,public,933,Homo sapiens,breast
SRP186252,SRR8590798,public,199,Homo sapiens,breast
SRP186252,SRR8590799,public,230,Homo sapiens,breast
SRP186252,SRR8590800,public,199,Homo sapiens,breast
SRP186252,SRR8590801,public,227,Homo sapiens,breast
SRP186252,SRR8590802,public,1243,Homo sapiens,breast
SRP186252,SRR8590803,public,982,Homo sapiens,breast
SRP186252,SRR8590804,public,1014,Homo sapiens,breast
SRP186252,SRR8590805,public,658,Homo sapiens,breast
SRP186252,SRR8590806,public,662,Homo sapiens,breast
SRP186252,SRR8590807,public,1316,Homo sapiens,breast
SRP186252,SRR8590808,public,928,Homo sapiens,breast
SRP186252,SRR8590809,public,1349,Homo sapiens,breast
SRP186252,SRR8590810,public,928,Homo sapiens,breast
SRP186252,SRR8590811,public,3965,Homo sapiens,breast
SRP186252,SRR8590812,public,1483,Homo sapiens,breast
SRP186252,SRR8590813,public,1662,Homo sapiens,breast
SRP186252,SRR8590814,public,5014,Homo sapiens,breast
SRP186252,SRR8590815,public,3697,Homo sapiens,breast
SRP187559,SRR8669856,public,633,Homo sapiens,breast
SRP187559,SRR8669857,public,569,Homo sapiens,breast
SRP187939,SRR8699101,public,1591,Homo sapiens,breast
SRP187939,SRR8699102,public,1679,Homo sapiens,breast
SRP187939,SRR8699103,public,1557,Homo sapiens,breast
SRP187939,SRR8699104,public,1692,Homo sapiens,breast
SRP187939,SRR8699105,public,1588,Homo sapiens,breast
SRP187939,SRR8699106,public,1742,Homo sapiens,breast
SRP187939,SRR8699107,public,1449,Homo sapiens,breast
SRP187939,SRR8699108,public,1310,Homo sapiens,breast
SRP187939,SRR8699109,public,1578,Homo sapiens,breast
SRP188561,SRR8734957,public,455,Homo sapiens,breast
SRP188561,SRR8734958,public,408,Homo sapiens,breast
SRP188561,SRR8734959,public,401,Homo sapiens,breast
SRP188561,SRR8734960,public,503,Homo sapiens,breast
SRP188561,SRR8734961,public,534,Homo sapiens,breast
SRP188561,SRR8734962,public,563,Homo sapiens,breast
SRP188561,SRR8734963,public,2957,Homo sapiens,breast
SRP188561,SRR8734964,public,1159,Homo sapiens,breast
SRP188561,SRR8734965,public,2753,Homo sapiens,breast
SRP188561,SRR8734966,public,2804,Homo sapiens,breast
SRP188561,SRR8734967,public,1408,Homo sapiens,breast
SRP189793,SRR8800812,public,4617,Homo sapiens,breast
SRP189793,SRR8800813,public,4954,Homo sapiens,breast
SRP189793,SRR8800814,public,4809,Homo sapiens,breast
SRP189793,SRR8800815,public,4400,Homo sapiens,breast
SRP189793,SRR8800816,public,4227,Homo sapiens,breast
SRP189793,SRR8800817,public,4045,Homo sapiens,breast
SRP189793,SRR8800818,public,4280,Homo sapiens,breast
SRP189793,SRR8800819,public,4440,Homo sapiens,breast
SRP189793,SRR8800820,public,3734,Homo sapiens,breast
SRP192582,SRR8898765,public,2377,Homo sapiens,breast
SRP192582,SRR8898763,public,2514,Homo sapiens,breast
SRP192582,SRR8898764,public,5026,Homo sapiens,breast
SRP196454,SRR9026385,public,1223,Homo sapiens,breast
SRP196454,SRR9026384,public,1235,Homo sapiens,breast
SRP196454,SRR9026383,public,1262,Homo sapiens,breast
SRP196454,SRR9026382,public,1193,Homo sapiens,breast
SRP196454,SRR9026389,public,1203,Homo sapiens,breast
SRP196454,SRR9026388,public,1266,Homo sapiens,breast
SRP196454,SRR9026387,public,1279,Homo sapiens,breast
SRP196454,SRR9026386,public,1043,Homo sapiens,breast
SRP196454,SRR9026381,public,1255,Homo sapiens,breast
SRP199101,SRR9103149,public,1049,Homo sapiens,breast
SRP199101,SRR9103153,public,1144,Homo sapiens,breast
SRP199101,SRR9103151,public,1166,Homo sapiens,breast
SRP199101,SRR9103155,public,1257,Homo sapiens,breast
SRP199101,SRR9103154,public,1384,Homo sapiens,breast
SRP199101,SRR9103156,public,1481,Homo sapiens,breast
SRP199101,SRR9103143,public,572,Homo sapiens,breast
SRP199101,SRR9103142,public,784,Homo sapiens,breast
SRP199101,SRR9103141,public,793,Homo sapiens,breast
SRP199101,SRR9103140,public,639,Homo sapiens,breast
SRP199101,SRR9103145,public,662,Homo sapiens,breast
SRP199101,SRR9103144,public,671,Homo sapiens,breast
SRP199101,SRR9103147,public,865,Homo sapiens,breast
SRP199101,SRR9103146,public,891,Homo sapiens,breast
SRP199101,SRR9103139,public,1111,Homo sapiens,breast
SRP199101,SRR9103138,public,818,Homo sapiens,breast
SRP199101,SRR9103137,public,703,Homo sapiens,breast
SRP199101,SRR9103136,public,659,Homo sapiens,breast
SRP199101,SRR9103152,public,1583,Homo sapiens,breast
SRP199101,SRR9103148,public,1469,Homo sapiens,breast
SRP199101,SRR9103150,public,1867,Homo sapiens,breast
SRP199685,SRR9139868,public,1691,Homo sapiens,breast
SRP199685,SRR9139869,public,1539,Homo sapiens,breast
SRP199685,SRR9139870,public,1643,Homo sapiens,breast
SRP199685,SRR9139871,public,1553,Homo sapiens,breast
SRP199685,SRR9139872,public,1670,Homo sapiens,breast
SRP199685,SRR9139873,public,1759,Homo sapiens,breast
SRP200463,SRR9202882,public,395,Homo sapiens,breast
SRP200463,SRR9202883,public,365,Homo sapiens,breast
SRP200463,SRR9202884,public,383,Homo sapiens,breast
SRP200463,SRR9202885,public,399,Homo sapiens,breast
SRP200463,SRR9202886,public,589,Homo sapiens,breast
SRP200463,SRR9202887,public,400,Homo sapiens,breast
SRP200463,SRR9202888,public,345,Homo sapiens,breast
SRP200463,SRR9202889,public,378,Homo sapiens,breast
SRP200463,SRR9202890,public,391,Homo sapiens,breast
SRP200463,SRR9202891,public,385,Homo sapiens,breast
SRP200463,SRR9202892,public,462,Homo sapiens,breast
SRP200463,SRR9202893,public,458,Homo sapiens,breast
SRP200463,SRR9202894,public,430,Homo sapiens,breast
SRP200463,SRR9202895,public,412,Homo sapiens,breast
SRP200463,SRR9202896,public,337,Homo sapiens,breast
SRP200576,SRR9675263,public,1095,Homo sapiens,breast
SRP200576,SRR9208054,public,859,Homo sapiens,breast
SRP200576,SRR9672137,public,1066,Homo sapiens,breast
SRP200698,SRR9212533,public,1385,Homo sapiens,breast
SRP200698,SRR9212534,public,1532,Homo sapiens,breast
SRP200698,SRR9212535,public,1531,Homo sapiens,breast
SRP200698,SRR9212536,public,1568,Homo sapiens,breast
SRP200698,SRR9212537,public,1458,Homo sapiens,breast
SRP200698,SRR9212538,public,1622,Homo sapiens,breast
SRP200698,SRR9212539,public,1430,Homo sapiens,breast
SRP200698,SRR9212540,public,1460,Homo sapiens,breast
SRP200698,SRR9212541,public,1509,Homo sapiens,breast
SRP200698,SRR9212542,public,1453,Homo sapiens,breast
SRP200698,SRR9212543,public,1443,Homo sapiens,breast
SRP200698,SRR9212544,public,1646,Homo sapiens,breast
SRP200698,SRR9212545,public,1052,Homo sapiens,breast
SRP200698,SRR9212546,public,1014,Homo sapiens,breast
SRP200698,SRR9212547,public,868,Homo sapiens,breast
SRP200698,SRR9212548,public,1116,Homo sapiens,breast
SRP200698,SRR9212549,public,928,Homo sapiens,breast
SRP200698,SRR9212550,public,1052,Homo sapiens,breast
SRP200698,SRR9212551,public,984,Homo sapiens,breast
SRP200698,SRR9212552,public,989,Homo sapiens,breast
SRP200698,SRR9212553,public,1001,Homo sapiens,breast
SRP200698,SRR9212554,public,1127,Homo sapiens,breast
SRP200698,SRR9212555,public,1011,Homo sapiens,breast
SRP200698,SRR9212556,public,960,Homo sapiens,breast
SRP200928,SRR9228617,public,1047,Homo sapiens,breast
SRP200928,SRR9228618,public,1379,Homo sapiens,breast
SRP200928,SRR9228620,public,1337,Homo sapiens,breast
SRP200928,SRR9228619,public,1189,Homo sapiens,breast
SRP200928,SRR9228621,public,1019,Homo sapiens,breast
SRP200928,SRR9228622,public,1297,Homo sapiens,breast
SRP200928,SRR9228623,public,1153,Homo sapiens,breast
SRP200928,SRR9228624,public,1098,Homo sapiens,breast
SRP200928,SRR9228625,public,923,Homo sapiens,breast
SRP200928,SRR9228626,public,1187,Homo sapiens,breast
SRP200928,SRR9228627,public,1115,Homo sapiens,breast
SRP200928,SRR9228628,public,1157,Homo sapiens,breast
SRP200928,SRR9228629,public,1133,Homo sapiens,breast
SRP200928,SRR9228630,public,1276,Homo sapiens,breast
SRP200928,SRR9228631,public,1152,Homo sapiens,breast
SRP200928,SRR9228632,public,1065,Homo sapiens,breast
SRP200928,SRR9228633,public,1140,Homo sapiens,breast
SRP200928,SRR9228634,public,1025,Homo sapiens,breast
SRP201147,SRR9276382,public,3296,Homo sapiens,breast
SRP201147,SRR9276383,public,2948,Homo sapiens,breast
SRP201147,SRR9276384,public,3601,Homo sapiens,breast
SRP201147,SRR9276385,public,3307,Homo sapiens,breast
SRP201147,SRR9276386,public,3343,Homo sapiens,breast
SRP201147,SRR9276387,public,2862,Homo sapiens,breast
SRP213630,SRR9652315,public,880,Homo sapiens,breast
SRP213630,SRR9652316,public,711,Homo sapiens,breast
SRP213630,SRR9652317,public,683,Homo sapiens,breast
SRP213630,SRR9652318,public,991,Homo sapiens,breast
SRP213630,SRR9652319,public,806,Homo sapiens,breast
SRP213630,SRR9652320,public,721,Homo sapiens,breast
SRP213630,SRR9652321,public,610,Homo sapiens,breast
SRP213630,SRR9652322,public,2829,Homo sapiens,breast
SRP213630,SRR9652323,public,2443,Homo sapiens,breast
SRP213630,SRR9652324,public,2537,Homo sapiens,breast
SRP213630,SRR9652325,public,2534,Homo sapiens,breast
SRP213630,SRR9652326,public,2503,Homo sapiens,breast
SRP213630,SRR9652327,public,2748,Homo sapiens,breast
SRP215215,SRR9703437,public,2958,Homo sapiens,breast
SRP215215,SRR9703438,public,2956,Homo sapiens,breast
SRP215215,SRR9703439,public,2698,Homo sapiens,breast
SRP215215,SRR9703440,public,2697,Homo sapiens,breast
SRP215215,SRR9703441,public,2948,Homo sapiens,breast
SRP215215,SRR9703442,public,2944,Homo sapiens,breast
SRP215215,SRR9703443,public,3793,Homo sapiens,breast
SRP215215,SRR9703444,public,3790,Homo sapiens,breast
SRP219393,SRR10025817,public,1138,Homo sapiens,breast
SRP219393,SRR10025818,public,1105,Homo sapiens,breast
SRP219393,SRR10025819,public,1007,Homo sapiens,breast
SRP219393,SRR10025820,public,936,Homo sapiens,breast
SRP219393,SRR10025821,public,987,Homo sapiens,breast
SRP219393,SRR10025822,public,1115,Homo sapiens,breast
SRP219393,SRR10025823,public,1334,Homo sapiens,breast
SRP219393,SRR10025824,public,913,Homo sapiens,breast
SRP219393,SRR10025825,public,1020,Homo sapiens,breast
SRP219393,SRR10025826,public,1157,Homo sapiens,breast
SRP219393,SRR10025827,public,1200,Homo sapiens,breast
SRP219393,SRR10025828,public,1165,Homo sapiens,breast
SRP221612,SRR10119371,public,12203,Homo sapiens,breast
SRP221612,SRR10119372,public,8670,Homo sapiens,breast
SRP221612,SRR10119373,public,7494,Homo sapiens,breast
SRP221612,SRR10119374,public,8454,Homo sapiens,breast
SRP221612,SRR10119375,public,8554,Homo sapiens,breast
SRP221612,SRR10119376,public,7086,Homo sapiens,breast
SRP221612,SRR10119377,public,8153,Homo sapiens,breast
SRP221612,SRR10119378,public,6262,Homo sapiens,breast
SRP221612,SRR10119379,public,6989,Homo sapiens,breast
SRP221612,SRR10119380,public,10992,Homo sapiens,breast
SRP221612,SRR10119381,public,7634,Homo sapiens,breast
SRP221612,SRR10119382,public,8048,Homo sapiens,breast
SRP221612,SRR10119383,public,8386,Homo sapiens,breast
SRP221612,SRR10119384,public,7358,Homo sapiens,breast
SRP221612,SRR10119385,public,6749,Homo sapiens,breast
SRP221612,SRR10119386,public,9641,Homo sapiens,breast
SRP221612,SRR10119387,public,7840,Homo sapiens,breast
SRP221612,SRR10119388,public,8126,Homo sapiens,breast
SRP221987,SRR10129830,public,847,Homo sapiens,breast
SRP221987,SRR10129831,public,1018,Homo sapiens,breast
SRP221987,SRR10129832,public,1334,Homo sapiens,breast
SRP222478,SRR10143216,public,344,Homo sapiens,lung
SRP222478,SRR10143217,public,355,Homo sapiens,lung
SRP222478,SRR10143218,public,337,Homo sapiens,lung
SRP222478,SRR10143219,public,338,Homo sapiens,lung
SRP222478,SRR10143220,public,398,Homo sapiens,lung
SRP222478,SRR10143221,public,382,Homo sapiens,lung
SRP222478,SRR10143222,public,348,Homo sapiens,lung
SRP222478,SRR10143223,public,399,Homo sapiens,lung
SRP222478,SRR10143224,public,350,Homo sapiens,lung
SRP222478,SRR10143225,public,369,Homo sapiens,lung
SRP222478,SRR10143226,public,252,Homo sapiens,lung
SRP222478,SRR10143227,public,193,Homo sapiens,lung
SRP222478,SRR10143228,public,427,Homo sapiens,lung
SRP222478,SRR10143229,public,532,Homo sapiens,lung
SRP222478,SRR10143230,public,407,Homo sapiens,lung
SRP222478,SRR10143231,public,385,Homo sapiens,lung
SRP222478,SRR10143232,public,498,Homo sapiens,lung
SRP222478,SRR10143233,public,404,Homo sapiens,lung
SRP222478,SRR10612048,public,432,Homo sapiens,lung
SRP222478,SRR10612049,public,523,Homo sapiens,lung
SRP228772,SRR10407312,public,3218,Homo sapiens,breast
SRP228772,SRR10407313,public,3200,Homo sapiens,breast
SRP229422,SRR10425923,public,4038,Homo sapiens,breast
SRP229422,SRR10425924,public,4259,Homo sapiens,breast
SRP229422,SRR10425925,public,3712,Homo sapiens,breast
SRP229422,SRR10425926,public,3381,Homo sapiens,breast
SRP229422,SRR10425927,public,3444,Homo sapiens,breast
SRP229422,SRR10425928,public,3295,Homo sapiens,breast
SRP229422,SRR10425929,public,3686,Homo sapiens,breast
SRP229422,SRR10425930,public,3479,Homo sapiens,breast
SRP229422,SRR10425931,public,4346,Homo sapiens,breast
SRP229422,SRR10425932,public,5088,Homo sapiens,breast
SRP229422,SRR10425933,public,3757,Homo sapiens,breast
SRP229422,SRR10425934,public,4470,Homo sapiens,breast
SRP229422,SRR10425935,public,3552,Homo sapiens,breast
SRP229422,SRR10425936,public,4316,Homo sapiens,breast
SRP229422,SRR10425937,public,3782,Homo sapiens,breast
SRP229422,SRR10425938,public,4264,Homo sapiens,breast
SRP229422,SRR10425939,public,3558,Homo sapiens,breast
SRP229422,SRR10425940,public,4428,Homo sapiens,breast
SRP229422,SRR10425941,public,2945,Homo sapiens,breast
SRP229422,SRR10425942,public,4435,Homo sapiens,breast
SRP229422,SRR10425943,public,3117,Homo sapiens,breast
SRP229422,SRR10425944,public,4462,Homo sapiens,breast
SRP229422,SRR10425945,public,3242,Homo sapiens,breast
SRP229422,SRR10425946,public,4732,Homo sapiens,breast
SRP229422,SRR10425947,public,4156,Homo sapiens,breast
SRP229422,SRR10425948,public,4902,Homo sapiens,breast
SRP229422,SRR10425949,public,3306,Homo sapiens,breast
SRP229422,SRR10425950,public,4364,Homo sapiens,breast
SRP229422,SRR10425951,public,3949,Homo sapiens,breast
SRP229422,SRR10425952,public,4765,Homo sapiens,breast
SRP229422,SRR10425953,public,3721,Homo sapiens,breast
SRP229422,SRR10425954,public,4697,Homo sapiens,breast
SRP229951,SRR10446236,public,1907,Homo sapiens,breast
SRP229951,SRR10446237,public,1761,Homo sapiens,breast
SRP229951,SRR10446238,public,1769,Homo sapiens,breast
SRP229951,SRR10446239,public,1791,Homo sapiens,breast
SRP229951,SRR10446240,public,1883,Homo sapiens,breast
SRP229951,SRR10446241,public,1852,Homo sapiens,breast
SRP229951,SRR10446242,public,1840,Homo sapiens,breast
SRP229951,SRR10446243,public,1801,Homo sapiens,breast
SRP231434,SRR10517484,public,3251,Homo sapiens,breast
SRP231434,SRR10517485,public,3670,Homo sapiens,breast
SRP231434,SRR10517486,public,3699,Homo sapiens,breast
SRP231434,SRR10517487,public,3128,Homo sapiens,breast
SRP233583,SRR10550265,public,339,Homo sapiens,ovary
SRP233583,SRR10550266,public,340,Homo sapiens,ovary
SRP233583,SRR10550267,public,350,Homo sapiens,ovary
SRP233583,SRR10550268,public,346,Homo sapiens,ovary
SRP233583,SRR10550269,public,327,Homo sapiens,ovary
SRP233583,SRR10550202,public,200,Homo sapiens,ovary
SRP233583,SRR10550203,public,317,Homo sapiens,ovary
SRP233583,SRR10550204,public,319,Homo sapiens,ovary
SRP233583,SRR10550205,public,310,Homo sapiens,ovary
SRP233583,SRR10550206,public,203,Homo sapiens,ovary
SRP233583,SRR10550207,public,200,Homo sapiens,ovary
SRP233583,SRR10550208,public,202,Homo sapiens,ovary
SRP233583,SRR10550270,public,153,Homo sapiens,ovary
SRP233583,SRR10550271,public,238,Homo sapiens,ovary
SRP233583,SRR10550272,public,246,Homo sapiens,ovary
SRP233583,SRR10550273,public,234,Homo sapiens,ovary
SRP233583,SRR10550274,public,152,Homo sapiens,ovary
SRP233583,SRR10550275,public,153,Homo sapiens,ovary
SRP233583,SRR10550276,public,152,Homo sapiens,ovary
SRP233583,SRR10550277,public,264,Homo sapiens,ovary
SRP233583,SRR10550278,public,256,Homo sapiens,ovary
SRP233583,SRR10550279,public,271,Homo sapiens,ovary
SRP233583,SRR10550280,public,261,Homo sapiens,ovary
SRP233583,SRR10550281,public,253,Homo sapiens,ovary
SRP233583,SRR10550282,public,201,Homo sapiens,ovary
SRP233583,SRR10550283,public,332,Homo sapiens,ovary
SRP233583,SRR10550284,public,334,Homo sapiens,ovary
SRP233583,SRR10550285,public,326,Homo sapiens,ovary
SRP233583,SRR10550286,public,205,Homo sapiens,ovary
SRP233583,SRR10550287,public,200,Homo sapiens,ovary
SRP233583,SRR10550288,public,204,Homo sapiens,ovary
SRP233583,SRR10550289,public,348,Homo sapiens,ovary
SRP233583,SRR10550290,public,350,Homo sapiens,ovary
SRP233583,SRR10550291,public,358,Homo sapiens,ovary
SRP233583,SRR10550292,public,355,Homo sapiens,ovary
SRP233583,SRR10550293,public,342,Homo sapiens,ovary
SRP233583,SRR10550294,public,123,Homo sapiens,ovary
SRP233583,SRR10550295,public,199,Homo sapiens,ovary
SRP233583,SRR10550296,public,199,Homo sapiens,ovary
SRP233583,SRR10550297,public,195,Homo sapiens,ovary
SRP233583,SRR10550298,public,125,Homo sapiens,ovary
SRP233583,SRR10550299,public,123,Homo sapiens,ovary
SRP233583,SRR10550300,public,124,Homo sapiens,ovary
SRP233583,SRR10550301,public,210,Homo sapiens,ovary
SRP233583,SRR10550302,public,211,Homo sapiens,ovary
SRP233583,SRR10550303,public,215,Homo sapiens,ovary
SRP233583,SRR10550304,public,212,Homo sapiens,ovary
SRP233583,SRR10550305,public,204,Homo sapiens,ovary
SRP233583,SRR10550306,public,220,Homo sapiens,ovary
SRP233583,SRR10550307,public,337,Homo sapiens,ovary
SRP233583,SRR10550308,public,334,Homo sapiens,ovary
SRP233583,SRR10550309,public,326,Homo sapiens,ovary
SRP233583,SRR10550310,public,223,Homo sapiens,ovary
SRP233583,SRR10550311,public,219,Homo sapiens,ovary
SRP233583,SRR10550312,public,221,Homo sapiens,ovary
SRP233583,SRR10550313,public,359,Homo sapiens,ovary
SRP233583,SRR10550314,public,358,Homo sapiens,ovary
SRP233583,SRR10550315,public,367,Homo sapiens,ovary
SRP233583,SRR10550316,public,362,Homo sapiens,ovary
SRP233583,SRR10550317,public,345,Homo sapiens,ovary
SRP233583,SRR10550318,public,182,Homo sapiens,ovary
SRP233583,SRR10550319,public,301,Homo sapiens,ovary
SRP233583,SRR10550320,public,303,Homo sapiens,ovary
SRP233583,SRR10550434,public,295,Homo sapiens,ovary
SRP233583,SRR10550435,public,185,Homo sapiens,ovary
SRP233583,SRR10550436,public,181,Homo sapiens,ovary
SRP233583,SRR10550437,public,183,Homo sapiens,ovary
SRP233583,SRR10550438,public,311,Homo sapiens,ovary
SRP233583,SRR10550439,public,313,Homo sapiens,ovary
SRP233583,SRR10550440,public,320,Homo sapiens,ovary
SRP233583,SRR10550441,public,317,Homo sapiens,ovary
SRP233583,SRR10550442,public,310,Homo sapiens,ovary
SRP233583,SRR10550443,public,128,Homo sapiens,ovary
SRP233583,SRR10550444,public,211,Homo sapiens,ovary
SRP233583,SRR10550445,public,212,Homo sapiens,ovary
SRP233583,SRR10550446,public,208,Homo sapiens,ovary
SRP233583,SRR10550447,public,130,Homo sapiens,ovary
SRP233583,SRR10550448,public,128,Homo sapiens,ovary
SRP233583,SRR10550449,public,129,Homo sapiens,ovary
SRP233583,SRR10550450,public,221,Homo sapiens,ovary
SRP233583,SRR10550451,public,221,Homo sapiens,ovary
SRP233583,SRR10550452,public,226,Homo sapiens,ovary
SRP233583,SRR10550453,public,223,Homo sapiens,ovary
SRP233583,SRR10550454,public,217,Homo sapiens,ovary
SRP233583,SRR10550455,public,76,Homo sapiens,ovary
SRP233583,SRR10550456,public,123,Homo sapiens,ovary
SRP233583,SRR10550457,public,123,Homo sapiens,ovary
SRP233583,SRR10550458,public,120,Homo sapiens,ovary
SRP233583,SRR10550459,public,77,Homo sapiens,ovary
SRP233583,SRR10550460,public,76,Homo sapiens,ovary
SRP233583,SRR10550461,public,76,Homo sapiens,ovary
SRP233583,SRR10550462,public,129,Homo sapiens,ovary
SRP233583,SRR10550463,public,130,Homo sapiens,ovary
SRP233583,SRR10550464,public,132,Homo sapiens,ovary
SRP233583,SRR10550465,public,131,Homo sapiens,ovary
SRP233583,SRR10550466,public,126,Homo sapiens,ovary
SRP233583,SRR10550467,public,230,Homo sapiens,ovary
SRP233583,SRR10550468,public,372,Homo sapiens,ovary
SRP233583,SRR10550469,public,374,Homo sapiens,ovary
SRP233583,SRR10550470,public,365,Homo sapiens,ovary
SRP233583,SRR10550471,public,234,Homo sapiens,ovary
SRP233583,SRR10550472,public,230,Homo sapiens,ovary
SRP233583,SRR10550473,public,233,Homo sapiens,ovary
SRP233583,SRR10550474,public,393,Homo sapiens,ovary
SRP233583,SRR10550475,public,395,Homo sapiens,ovary
SRP233583,SRR10550476,public,404,Homo sapiens,ovary
SRP233583,SRR10550477,public,402,Homo sapiens,ovary
SRP233583,SRR10550478,public,383,Homo sapiens,ovary
SRP233583,SRR10550479,public,196,Homo sapiens,ovary
SRP233583,SRR10550480,public,312,Homo sapiens,ovary
SRP233583,SRR10550481,public,312,Homo sapiens,ovary
SRP233583,SRR10550482,public,305,Homo sapiens,ovary
SRP233583,SRR10550483,public,198,Homo sapiens,ovary
SRP233583,SRR10550484,public,195,Homo sapiens,ovary
SRP233583,SRR10550485,public,196,Homo sapiens,ovary
SRP233583,SRR10550486,public,328,Homo sapiens,ovary
SRP233583,SRR10550487,public,328,Homo sapiens,ovary
SRP233583,SRR10550488,public,335,Homo sapiens,ovary
SRP233583,SRR10550489,public,330,Homo sapiens,ovary
SRP233583,SRR10550377,public,321,Homo sapiens,ovary
SRP233583,SRR10550378,public,218,Homo sapiens,ovary
SRP233583,SRR10550379,public,344,Homo sapiens,ovary
SRP233583,SRR10550380,public,347,Homo sapiens,ovary
SRP233583,SRR10550381,public,337,Homo sapiens,ovary
SRP233583,SRR10550382,public,221,Homo sapiens,ovary
SRP233583,SRR10550383,public,218,Homo sapiens,ovary
SRP233583,SRR10550384,public,220,Homo sapiens,ovary
SRP233583,SRR10550385,public,371,Homo sapiens,ovary
SRP233583,SRR10550386,public,371,Homo sapiens,ovary
SRP233583,SRR10550387,public,381,Homo sapiens,ovary
SRP233583,SRR10550388,public,376,Homo sapiens,ovary
SRP233583,SRR10550389,public,357,Homo sapiens,ovary
SRP233583,SRR10550390,public,121,Homo sapiens,ovary
SRP233583,SRR10550391,public,201,Homo sapiens,ovary
SRP233583,SRR10550392,public,199,Homo sapiens,ovary
SRP233583,SRR10550393,public,197,Homo sapiens,ovary
SRP233583,SRR10550394,public,125,Homo sapiens,ovary
SRP233583,SRR10550395,public,121,Homo sapiens,ovary
SRP233583,SRR10550396,public,123,Homo sapiens,ovary
SRP233583,SRR10550397,public,209,Homo sapiens,ovary
SRP233583,SRR10550398,public,213,Homo sapiens,ovary
SRP233583,SRR10550399,public,214,Homo sapiens,ovary
SRP233583,SRR10550400,public,215,Homo sapiens,ovary
SRP233583,SRR10550401,public,204,Homo sapiens,ovary
SRP233583,SRR10550402,public,163,Homo sapiens,ovary
SRP233583,SRR10550403,public,270,Homo sapiens,ovary
SRP233583,SRR10550404,public,271,Homo sapiens,ovary
SRP233583,SRR10550405,public,265,Homo sapiens,ovary
SRP233583,SRR10550406,public,166,Homo sapiens,ovary
SRP233583,SRR10550407,public,162,Homo sapiens,ovary
SRP233583,SRR10550408,public,164,Homo sapiens,ovary
SRP233583,SRR10550409,public,278,Homo sapiens,ovary
SRP233583,SRR10550410,public,279,Homo sapiens,ovary
SRP233583,SRR10550411,public,286,Homo sapiens,ovary
SRP233583,SRR10550412,public,282,Homo sapiens,ovary
SRP233583,SRR10550413,public,277,Homo sapiens,ovary
SRP233583,SRR10550414,public,206,Homo sapiens,ovary
SRP233583,SRR10550415,public,342,Homo sapiens,ovary
SRP233583,SRR10550416,public,345,Homo sapiens,ovary
SRP233583,SRR10550417,public,335,Homo sapiens,ovary
SRP233583,SRR10550418,public,211,Homo sapiens,ovary
SRP233583,SRR10550419,public,206,Homo sapiens,ovary
SRP233583,SRR10550420,public,209,Homo sapiens,ovary
